Category Source,Country,Name,Type,Latitude,Longitude,Notes
Rocket launch site,DPRK,Sakkanmol Missile Operating Base,Missile operating base,38.584698,126.107945,Wikipedia describes it as a North Korean military base for short-range ballistic missiles in North Hwanghae Province. (Wikipedia)
Rocket launch site,DPRK,Sohae Satellite Launching Station,Spaceport / rocket launching site,39.66,124.705,Also known as Tongch’ang-dong Space Launch Center / Pongdong-ri; listed as an active North Korean military facility. (Wikipedia)
Rocket launch site,DPRK,Sohae Satellite Launching Station — LP1,Launch pad,39.6601,124.7052,Main launch pad with gantry tower; hosted Unha-3 orbital launch attempts. (Wikipedia)
Rocket launch site,DPRK,Sohae Satellite Launching Station — LP2,Launch pad,39.6529,124.7365,"Smaller, newer pad used for Chollima-1 test flights. (Wikipedia)"
Rocket launch site,DPRK,Tonghae Satellite Launching Ground,Rocket launching site,40.85833,129.68639,"Also known as Musudan-ri; located in southern Hwadae County, North Hamgyong Province. (Wikipedia)"
Rocket launch site,DPRK,Tonghae Satellite Launching Ground — Disused launch pad,Launch pad,40.8557,129.666,Described as a disused launch pad. (Wikipedia)
Rocket launch site,DPRK,Tonghae Satellite Launching Ground — New launch pad,Launch pad,40.8582,129.6866,Listed as a new launch pad. (Wikipedia)
Rocket launch site,DPRK,Tonghae Satellite Launching Ground — Engine test stand,Engine test stand,40.8523,129.6799,Named facility coordinate listed on the Tonghae page. (Wikipedia)
Rocket launch site,DPRK,Tonghae Satellite Launching Ground — Missile assembly/checkout building,Assembly / checkout building,40.8558,129.6592,Named facility coordinate listed on the Tonghae page. (Wikipedia)
Rocket launch site,DPRK,Tonghae Satellite Launching Ground — Missile control building,Control building,40.863,129.6604,Named facility coordinate listed on the Tonghae page. (Wikipedia)
Military installations,DPRK,Changjin Air Force Base,Military airfield,40.364333,127.264111,Military airport in Changjin; article lists airport type as military. (Wikipedia)
Military installations,DPRK,Kibong-dong hovercraft base,Naval hovercraft base,39.6147,124.6325,KPA Naval Force base in North Pyongan Province; article says sheds could house about 52 hovercraft. (Wikipedia)
Military installations,DPRK,Naval bases of the Korean People’s Navy,Naval base list page,,,The page lists West Sea Fleet and East Sea Fleet bases but does not provide one single coordinate for the article itself. (Wikipedia)
Military installations,DPRK,Nyongbyon Nuclear Scientific Research Center,Nuclear research facility,39.8,125.754,Article describes it as North Korea’s major nuclear facility in Nyongbyon County. (Wikipedia)
Military installations,DPRK,Onchon Air Base,Military airfield,38.9095,125.232222,Military air base near Onchon; runway listed as 01/19. (Wikipedia)
Military installations,DPRK,Panghyon-dong,Missile-related neighborhood / defense-industry area,,,The direct category-linked page does not list coordinates; it describes Panghy?n-dong as a Pyongyang exclave used as a missile base. (Wikipedia)
Military installations,DPRK,Panghyon Airport,Related military airfield near Panghyon-dong,39.927472,125.207889,"Not one of the 13 direct category links, but directly relevant to Panghyon-dong; Wikipedia lists it as a military airport near Panghy?n-dong. (Wikipedia)"
Military installations,DPRK,Pyongyang Air Base,Former military airfield,39.03444,125.78194,Former air base adjacent to the Taedong River; article says it was redeveloped after the Korean War. (Wikipedia)
Military installations,DPRK,Sakkanmol Missile Operating Base,Missile operating base,38.584698,126.107945,Duplicate of prior rocket-launch-site table; listed as a North Korean military base. (Wikipedia)
Military installations,DPRK,Sinmak Airfield (K-20),Former / abandoned airfield,38.43333,126.23333,Article identifies it as a Korean War-era airfield; fate listed as abandoned. (Wikipedia)
Military installations,DPRK,Sinpung-dong Ballistic Missile Operating Base,Ballistic missile operating base,40.316252,125.276505,Article describes it as an undeclared missile launch site in Taegwan County. (Wikipedia)
Military installations,DPRK,Sohae Satellite Launching Station,Spaceport / rocket launching site,39.66,124.705,Duplicate of prior rocket-launch-site table; article lists it as an active spaceport. (Wikipedia)
Military installations,DPRK,Sunchon Airport,Military airport,39.412083,125.890472,Military airport serving Sunchon; ICAO listed as ZKSC. (Wikipedia)
Military installations,DPRK,Tonghae Satellite Launching Ground,Rocket launching site,40.85833,129.68639,Duplicate of prior rocket-launch-site table; also known as Musudan-ri. (Wikipedia)
